"Ano";"Mês";"UF do Produto";"Código NCM";"Descrição NCM";"Unidade estatística";"Valor US$ FOB";"US$ Frete";"US$ Seguro";"Valor US$ CIF";"Quilograma Líquido";"Quantidade Estatística"
"2025";"09. Setembro";"Paraná";"31021010";"Ureia, mesmo em solução aquosa, com teor de nitrogênio (azoto) superior a 45 %, em peso, calculado sobre o produto anidro no estado seco";"QUILOGRAMA LIQUIDO";"49047958";"2948254";"24161";"52020373";"117488761";"117488761"
"2025";"07. Julho";"Paraná";"31021010";"Ureia, mesmo em solução aquosa, com teor de nitrogênio (azoto) superior a 45 %, em peso, calculado sobre o produto anidro no estado seco";"QUILOGRAMA LIQUIDO";"43919146";"2798387";"20374";"46737907";"107239421";"107239421"
"2025";"03. Março";"Paraná";"29051100";"Metanol (álcool metílico)";"QUILOGRAMA LIQUIDO";"41253633";"4846523";"6122";"46106278";"92201636";"92201636"
"2025";"08. Agosto";"Paraná";"31021010";"Ureia, mesmo em solução aquosa, com teor de nitrogênio (azoto) superior a 45 %, em peso, calculado sobre o produto anidro no estado seco";"QUILOGRAMA LIQUIDO";"41192471";"2708684";"18464";"43919619";"104938172";"104938172"
"2025";"01. Janeiro";"Paraná";"29051100";"Metanol (álcool metílico)";"QUILOGRAMA LIQUIDO";"40983294";"4178391";"3269";"45164954";"91414949";"91414949"
"2025";"04. Abril";"Paraná";"29051100";"Metanol (álcool metílico)";"QUILOGRAMA LIQUIDO";"36796606";"4083420";"4867";"40884893";"84002627";"84002627"
"2025";"02. Fevereiro";"Paraná";"29051100";"Metanol (álcool metílico)";"QUILOGRAMA LIQUIDO";"35360890";"3930298";"1507";"39292695";"77816251";"77816251"
"2025";"02. Fevereiro";"Paraná";"31021010";"Ureia, mesmo em solução aquosa, com teor de nitrogênio (azoto) superior a 45 %, em peso, calculado sobre o produto anidro no estado seco";"QUILOGRAMA LIQUIDO";"34882113";"2978002";"11131";"37871246";"95270631";"95270631"
"2025";"05. Maio";"Paraná";"29051100";"Metanol (álcool metílico)";"QUILOGRAMA LIQUIDO";"31859167";"3377525";"2915";"35239607";"75672570";"75672570"
"2025";"06. Junho";"Paraná";"29051100";"Metanol (álcool metílico)";"QUILOGRAMA LIQUIDO";"31472831";"4152955";"5041";"35630827";"84032567";"84032567"
"2025";"07. Julho";"Paraná";"29051100";"Metanol (álcool metílico)";"QUILOGRAMA LIQUIDO";"30915156";"4504489";"7550";"35427195";"91248625";"91248625"
"2025";"06. Junho";"Paraná";"31021010";"Ureia, mesmo em solução aquosa, com teor de nitrogênio (azoto) superior a 45 %, em peso, calculado sobre o produto anidro no estado seco";"QUILOGRAMA LIQUIDO";"26890527";"1927870";"11973";"28830370";"72327608";"72327608"
"2025";"01. Janeiro";"Paraná";"31021010";"Ureia, mesmo em solução aquosa, com teor de nitrogênio (azoto) superior a 45 %, em peso, calculado sobre o produto anidro no estado seco";"QUILOGRAMA LIQUIDO";"25753563";"1928573";"1881";"27684017";"71351155";"71351155"
"2025";"08. Agosto";"Paraná";"29051100";"Metanol (álcool metílico)";"QUILOGRAMA LIQUIDO";"23435735";"3875128";"5906";"27316769";"73984628";"73984628"
"2025";"09. Setembro";"Paraná";"29051100";"Metanol (álcool metílico)";"QUILOGRAMA LIQUIDO";"23316046";"3637440";"5195";"26958681";"73159513";"73159513"
"2025";"04. Abril";"Paraná";"31021010";"Ureia, mesmo em solução aquosa, com teor de nitrogênio (azoto) superior a 45 %, em peso, calculado sobre o produto anidro no estado seco";"QUILOGRAMA LIQUIDO";"21552669";"1631969";"7177";"23191815";"57182134";"57182134"
"2025";"05. Maio";"Paraná";"31021010";"Ureia, mesmo em solução aquosa, com teor de nitrogênio (azoto) superior a 45 %, em peso, calculado sobre o produto anidro no estado seco";"QUILOGRAMA LIQUIDO";"19395212";"1250662";"5280";"20651154";"52621469";"52621469"
"2025";"03. Março";"Paraná";"31021010";"Ureia, mesmo em solução aquosa, com teor de nitrogênio (azoto) superior a 45 %, em peso, calculado sobre o produto anidro no estado seco";"QUILOGRAMA LIQUIDO";"12774672";"921279";"3257";"13699208";"31550665";"31550665"
"2025";"02. Fevereiro";"Paraná";"28142000";"Amoníaco em solução aquosa (amônia)";"QUILOGRAMA LIQUIDO";"5194";"1387";"4";"6585";"200";"200"
"2025";"04. Abril";"Paraná";"28142000";"Amoníaco em solução aquosa (amônia)";"QUILOGRAMA LIQUIDO";"4266";"9";"0";"4275";"150";"150"
"2025";"05. Maio";"Paraná";"28142000";"Amoníaco em solução aquosa (amônia)";"QUILOGRAMA LIQUIDO";"21";"10";"0";"31";"1";"1"
"2024";"11. Novembro";"Paraná";"31021010";"Ureia, mesmo em solução aquosa, com teor de nitrogênio (azoto) superior a 45 %, em peso, calculado sobre o produto anidro no estado seco";"QUILOGRAMA LIQUIDO";"61238272";"5362746";"36479";"66637497";"181682117";"181682117"
"2024";"10. Outubro";"Paraná";"31021010";"Ureia, mesmo em solução aquosa, com teor de nitrogênio (azoto) superior a 45 %, em peso, calculado sobre o produto anidro no estado seco";"QUILOGRAMA LIQUIDO";"57451748";"4769607";"24905";"62246260";"167263105";"167263105"
"2024";"12. Dezembro";"Paraná";"31021010";"Ureia, mesmo em solução aquosa, com teor de nitrogênio (azoto) superior a 45 %, em peso, calculado sobre o produto anidro no estado seco";"QUILOGRAMA LIQUIDO";"44828407";"3741605";"22639";"48592651";"131184836";"131184836"
"2024";"10. Outubro";"Paraná";"29051100";"Metanol (álcool metílico)";"QUILOGRAMA LIQUIDO";"40369247";"5279876";"6866";"45655989";"108691136";"108691136"
"2024";"12. Dezembro";"Paraná";"29051100";"Metanol (álcool metílico)";"QUILOGRAMA LIQUIDO";"39284628";"4851972";"4886";"44141486";"94213085";"94213085"
"2024";"01. Janeiro";"Paraná";"31021010";"Ureia, mesmo em solução aquosa, com teor de nitrogênio (azoto) superior a 45 %, em peso, calculado sobre o produto anidro no estado seco";"QUILOGRAMA LIQUIDO";"39268747";"4390054";"16090";"43674891";"125868653";"125868653"
"2024";"07. Julho";"Paraná";"29051100";"Metanol (álcool metílico)";"QUILOGRAMA LIQUIDO";"34573456";"5194244";"6450";"39774150";"99558825";"99558825"
"2024";"08. Agosto";"Paraná";"29051100";"Metanol (álcool metílico)";"QUILOGRAMA LIQUIDO";"33293280";"4326518";"2930";"37622728";"88256776";"88256776"
"2024";"09. Setembro";"Paraná";"31021010";"Ureia, mesmo em solução aquosa, com teor de nitrogênio (azoto) superior a 45 %, em peso, calculado sobre o produto anidro no estado seco";"QUILOGRAMA LIQUIDO";"33083233";"2904947";"12380";"36000560";"96177312";"96177312"
"2024";"11. Novembro";"Paraná";"29051100";"Metanol (álcool metílico)";"QUILOGRAMA LIQUIDO";"32385185";"4056488";"3875";"36445548";"83747041";"83747041"
"2024";"09. Setembro";"Paraná";"29051100";"Metanol (álcool metílico)";"QUILOGRAMA LIQUIDO";"30579830";"3678884";"4569";"34263283";"79371050";"79371050"
"2024";"05. Maio";"Paraná";"29051100";"Metanol (álcool metílico)";"QUILOGRAMA LIQUIDO";"28723075";"4860720";"3809";"33587604";"82697697";"82697697"
"2024";"04. Abril";"Paraná";"29051100";"Metanol (álcool metílico)";"QUILOGRAMA LIQUIDO";"28200836";"4256735";"4792";"32462363";"82805338";"82805338"
"2024";"08. Agosto";"Paraná";"31021010";"Ureia, mesmo em solução aquosa, com teor de nitrogênio (azoto) superior a 45 %, em peso, calculado sobre o produto anidro no estado seco";"QUILOGRAMA LIQUIDO";"26990384";"2156473";"17306";"29164163";"80586186";"80586186"
