no_isic_secao;no_cuci_pos;vl_fob;participacao
Agropecuária;Animais vivos, não incluído pescados ou crustáceos;27725836;0,1781
Agropecuária;Pescado inteiro vivo, morto ou refrigerado;139632;0,0009
Agropecuária;Crustáceos não congelados comestíveis;2870;0
Agropecuária;Trigo e centeio, não moídos;12;7,7082e-8
Agropecuária;Cevada, não moída;0;0
Agropecuária;Milho não moído, exceto milho doce;450326064;2,8927
Agropecuária;Centeio, aveia e outros cereais, não moídos;884960;0,0057
Agropecuária;Produtos hortícolas, frescos ou refrigerados;40583726;0,2607
Agropecuária;Frutas e nozes não oleaginosas, frescas ou secas;13289296;0,0854
Agropecuária;Mel natural;15724185;0,101
Agropecuária;Café não torrado;37017324;0,2378
Agropecuária;Mate, extrato, essência e concentrado;7084621;0,0455
Agropecuária;Especiarias;987174;0,0063
Agropecuária;Soja;3310828577;21,2671
Agropecuária;Sementes oleaginosas de girassol, gergelim, canola, algodão e outras;732155;0,0047
Agropecuária;Outras sementes oleaginosas de copra ou linhaça;774;0,0000049718
Agropecuária;Látex, borracha natural, balata, guta-percha, guaiúle, chicle e gomas naturais;9386;0,0001
Agropecuária;Lenha e carvão vegetal;46097;0,0003
Agropecuária;Madeira em bruto;50374;0,0003
Agropecuária;Algodão em bruto;117966;0,0008
Agropecuária;Juta e outras fibras têxteis liberianas em bruto;417;0,0000026786
Agropecuária;Matérias vegetais em bruto;4992495;0,0321
Indústria Extrativa;Fertilizantes brutos (exceto adubos);331416;0,0021
Indústria Extrativa;Pedra, areia e cascalho;1040328;0,0067
Indústria Extrativa;Outros minerais em bruto;7140261;0,0459
Indústria Extrativa;Minérios de metais preciosos e seus concentrados;6020860;0,0387
Indústria de Transformação;Carne bovina fresca, refrigerada ou congelada;124773038;0,8015
Indústria de Transformação;Carnes de aves e suas miudezas comestíveis, frescas, refrigeradas ou congeladas;2316136600;14,8777
Indústria de Transformação;Carne suína fresca, refrigerada ou congelada;364702208;2,3427
Indústria de Transformação;Outras carnes e miudezas comestíveis, frescas, refrigeradas ou congeladas;15335598;0,0985
Indústria de Transformação;Outras carnes comestíveis salgadas, em salmoras, secas ou defumadas;43828327;0,2815
Indústria de Transformação;Despojos comestíveis de carnes, preparados ou preservados;159602112;1,0252
Indústria de Transformação;Leite, creme de leite e laticínios, exceto manteiga ou queijo;5452332;0,035
Indústria de Transformação;Manteiga e outras gorduras e óleos derivados do leite;7913344;0,0508
Indústria de Transformação;Queijo e coalhada;1152188;0,0074
Indústria de Transformação;Ovos de aves, gemas de ovos, frescos, desidratados ou preservados, adoçados ou não, e derivados;22033000;0,1415
