no_isic_secao;no_cuci_pos;vl_fob;participacao
Agropecuária;Animais vivos, não incluído pescados ou crustáceos;44020;0,0026
Agropecuária;Pescado inteiro vivo, morto ou refrigerado;124075;0,0073
Agropecuária;Trigo e centeio, não moídos;12832599;0,756
Agropecuária;Milho não moído, exceto milho doce;16827905;0,9914
Agropecuária;Centeio, aveia e outros cereais, não moídos;2016714;0,1188
Agropecuária;Produtos hortícolas, frescos ou refrigerados;1408968;0,083
Agropecuária;Frutas e nozes não oleaginosas, frescas ou secas;7885142;0,4645
Agropecuária;Mate, extrato, essência e concentrado;362696;0,0214
Agropecuária;Especiarias;152974;0,009
Agropecuária;Soja;53525730;3,1533
Agropecuária;Sementes oleaginosas de girassol, gergelim, canola, algodão e outras;30828;0,0018
Agropecuária;Outras sementes oleaginosas de copra ou linhaça;53900;0,0032
Agropecuária;Látex, borracha natural, balata, guta-percha, guaiúle, chicle e gomas naturais;2933199;0,1728
Agropecuária;Lenha e carvão vegetal;41845;0,0025
Agropecuária;Matérias vegetais em bruto;617890;0,0364
Indústria Extrativa;Fertilizantes brutos (exceto adubos);2683198;0,1581
Indústria Extrativa;Pedra, areia e cascalho;267324;0,0157
Indústria Extrativa;Outros minerais em bruto;1269501;0,0748
Indústria Extrativa;Linhita e turfa;258574;0,0152
Indústria Extrativa;Óleos brutos de petróleo ou de minerais betuminosos, crus;25443104;1,4989
Indústria de Transformação;Carne suína fresca, refrigerada ou congelada;68956;0,0041
Indústria de Transformação;Outras carnes e miudezas comestíveis, frescas, refrigeradas ou congeladas;126129;0,0074
Indústria de Transformação;Leite, creme de leite e laticínios, exceto manteiga ou queijo;822500;0,0485
Indústria de Transformação;Manteiga e outras gorduras e óleos derivados do leite;219083;0,0129
Indústria de Transformação;Queijo e coalhada;1266522;0,0746
Indústria de Transformação;Ovos de aves, gemas de ovos, frescos, desidratados ou preservados, adoçados ou não, e derivados;283052;0,0167
